id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description,Therapist_Name,Therapist_Password
108,"nose block, migraine",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,8Jaq7eqb,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Rajesh Mehta,TERAOQqV
109,"indigestion, joint pain",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,tawibchU,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Pooja Nair,KhdnL9x6
110,"gastric problem, back pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,KWSahe0Q,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Sneha Iyer,5ixoYbr1
111,"inflammation, blood impure, skin boils",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,Gop71M5q,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Karan Singh,eLrnvg11
112,"skin boils, acne, blood impure",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,6KdgOoWw,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Ritu Malhotra,eqc5oOPT
113,respiratory issue,Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,wPs4wXB3,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Aditi Sharma,XXMLIvk3
114,"stuffy nose, allergy",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,61kk3Fn0,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Ritu Malhotra,bX2ESp7n
115,allergy,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,kZAaV55E,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Ritu Malhotra,bwR3JtgC
116,"cold, stuffy nose, allergy",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,1xYXicWE,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Kavita Bansal,M6FafZU2
117,"cough, bronchitis",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,4BxL6ltx,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Ritu Malhotra,Ea1nEvGB
118,respiratory issue,Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,58WRMLam,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Anjali Das,bu4WGUuH
119,"obesity, respiratory issue, kapha disorder",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,YE8PSfj9,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Rajesh Mehta,eHy7pgAE
120,"asthma, cough",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,rtugDoQN,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Anjali Das,eRti5Y5z
121,"eczema, acidity, pimples",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,pig8JpZ9,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Rohit Gupta,FmkQGZxg
122,"indigestion, arthritis",Vaidya Seema Verma,Basti,vaidya.seema.verma,vU0YrwrY,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Neha Verma,lyClpFwI
123,"liver problem, eczema",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,43m5OeFW,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Manish Agarwal,bbt0qLcO
124,"psoriasis, acidity",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,705ImdF1,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Priya Reddy,hGXclELg
125,skin boils,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,1dQBJ293,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Priya Reddy,SSRxxVDm
126,back pain,Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,YOuwQN7E,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Aditi Sharma,4eTRnKYt
127,liver problem,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,XYy50ZdI,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Arjun Kapoor,f9JFozhA
128,joint pain,Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,zt9xjHKx,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Manish Agarwal,ds65aIW4
129,"pimples, acidity, allergy",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,rAncSHLn,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Priya Reddy,dRvQFtdj
130,"joint pain, back pain",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,VcBUmqsR,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Sneha Iyer,JzCZz9mj
131,"acne, blood impure",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,AeoWiyhh,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Vivek Rao,BYPNNIUK
132,"asthma, respiratory issue",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,GO7WUvPK,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Neha Verma,3u0ZzgBw
133,"eczema, pimples, liver problem",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,tXU0r2sd,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Anjali Das,3kraOGSB
134,"arthritis, gastric problem",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,921tvMFz,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Aditi Sharma,c596uJ4r
135,"obesity, cough, bronchitis",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,CAicykrA,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Anjali Das,MuP71S4e
136,"cough, respiratory issue, bronchitis",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,gzYUk4nE,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Vivek Rao,OHAQPVid
137,"constipation, arthritis, back pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,y5FScLqY,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Suresh Pillai,sq4dvqOE
138,"psoriasis, eczema",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,KGSHFWMH,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Neha Verma,W5ca5Yhz
139,"constipation, back pain",Vaidya Seema Verma,Basti,vaidya.seema.verma,iSyrzAwd,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Arjun Kapoor,0SkgNB3Q
140,"stuffy nose, headache",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,3wzd974e,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Rohit Gupta,74oBJAyf
141,"arthritis, gastric problem, back pain",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,1ZE97SBH,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Pooja Nair,Kj58x0kx
142,"acidity, psoriasis, allergy",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,OmCzWJ6Q,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Neha Verma,yPNjkLrH
143,headache,Vaidya Priya Nair,Nasya,vaidya.priya.nair,F1a4geiL,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Ritu Malhotra,wTY2oVok
144,pimples,Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,I2ukK61g,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Suresh Pillai,7eddYQ6V
145,"bronchitis, respiratory issue",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,1aYRjMMT,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Ritu Malhotra,iYlt6bxP
146,"allergy, eczema",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,U7ZEhWeE,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Kavita Bansal,6no9VTIA
147,"asthma, respiratory issue, obesity",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,RQNdBbJu,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Manish Agarwal,TnoUFkLP
148,kapha disorder,Vaidya Lata More,Vamana,vaidya.lata.more,YNNgSKCI,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Arjun Kapoor,OU7m441v
149,"bronchitis, obesity, cough",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,T86yuYQT,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Aditi Sharma,6E11g5kh
150,headache,Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,BHsNG9w5,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Aditi Sharma,2hTg5WDE
151,"inflammation, acne, skin boils",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,a7SbAD1I,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Aditi Sharma,k2afjha7
152,"skin rashes, psoriasis, pimples",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,AJrUdAcw,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Ritu Malhotra,IlUZrVhS
153,"joint pain, back pain, constipation",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,2RThqTAu,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Pooja Nair,6wH6gWte
154,asthma,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,o9uKuVRH,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Pooja Nair,2AcrpkKr
155,"cold, sinus, migraine",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,KU07328o,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Karan Singh,CwnNlEHm
156,"sinus, stuffy nose, migraine",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,arICiV6E,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Kavita Bansal,BkTAPVnj
157,"obesity, asthma, cough",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,mu6T46XN,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Rajesh Mehta,Ac6K8Qie
158,respiratory issue,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,eZwq3U1O,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Kavita Bansal,YzV88lSV
159,arthritis,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,xuVGt4HA,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Ritu Malhotra,sDjPNzsp
160,ulcer,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,dB950tR1,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Manish Agarwal,SUXdw6Zh
161,ulcer,Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,xBoG3xfN,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Manish Agarwal,wmPy1cbU
162,inflammation,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,5LHRWlOw,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Neha Verma,8eCuhAB4
163,asthma,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,sDm9b63V,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Neha Verma,WnVSCG3I
164,"sinus, cold, nose block",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,4lmHbhQk,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Ritu Malhotra,zmAzXBex
165,"arthritis, constipation",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,qJdtJnqj,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Pooja Nair,871i4XG8
166,"migraine, headache, sinus",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,yQrD5XCJ,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Anjali Das,cSlsAUGC
167,"skin boils, inflammation",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,uKro9rP2,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Anjali Das,LwnmrP5n
168,cold,Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,5vm01GmL,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Karan Singh,e6BExziz
169,"cough, respiratory issue",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,StEYcZzF,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Rajesh Mehta,yMq3ktjF
170,pimples,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,F0qny27G,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Rajesh Mehta,OOxPap7t
171,"arthritis, back pain",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,USim5Dv7,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Kavita Bansal,LljoTlN4
172,"blood impure, skin boils",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,6h3mpy1G,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Neha Verma,Ltvv8TGd
